#Genome,TE,Weight_count,Weight_length
Ancylostoma_ceylanicum,RTE-RTE,5598,2928519
Ancylostoma_ceylanicum,RTE-X,417,160429
Ancylostoma_ceylanicum,Rex-Babar,128,38544
Ancylostoma_ceylanicum,Sola,2,205
Ancylostoma_ceylanicum,Sola-1,319,108861
Ancylostoma_ceylanicum,Sola-2,339,80389
Ancylostoma_ceylanicum,Sola-3,193,41209
Ancylostoma_ceylanicum,Tad1,68,12393
Ancylostoma_ceylanicum,TcMar,6,1335
Ancylostoma_ceylanicum,TcMar-Fot1,92,17923
Ancylostoma_ceylanicum,TcMar-ISRm11,34,8316
Ancylostoma_ceylanicum,TcMar-Mariner,21828,9585792
Ancylostoma_ceylanicum,TcMar-Pogo,2839,586230
Ancylostoma_ceylanicum,TcMar-Stowaway,306,50967
Ancylostoma_ceylanicum,TcMar-Tc1,13323,5281117
Ancylostoma_ceylanicum,TcMar-Tc2,195,40632
Ancylostoma_ceylanicum,TcMar-Tc4,1012,401855
Ancylostoma_ceylanicum,TcMar-Tigger,5,563
Ancylostoma_ceylanicum,TcMar-m44,52,18829
Ancylostoma_ceylanicum,Zator,1009,556225
Ancylostoma_ceylanicum,Zisupton,266,78449
Ancylostoma_ceylanicum,hAT,1064,243420
Ancylostoma_ceylanicum,hAT-Ac,3239,925888
Ancylostoma_ceylanicum,hAT-Blackjack,943,320858
Ancylostoma_ceylanicum,hAT-Charlie,151,49482
Ancylostoma_ceylanicum,hAT-Tag1,271,63273
Ancylostoma_ceylanicum,hAT-Tip100,363,119096
Ancylostoma_ceylanicum,hAT-hAT19,127,44538
Ancylostoma_ceylanicum,hAT-hAT5,2,247
Ancylostoma_ceylanicum,hAT-hATm,451,139198
Ancylostoma_ceylanicum,hAT-hATw,76,14877
Ancylostoma_ceylanicum,hAT-hATx,7,966
