ID,repname_RM,repname_blast,ident,eval,alignmentlength,bitscore,score,rm_repname,mc,x,y,repname_RM4,fc
HERVL18-int_chr1:80051661-80052493,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2665.465,-173.89233,HERV,5
HERVL18-int_chr1:86409663-86414606,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2682.9724,-180.52725,HERV,5
HERVL18-int_chr1:86415039-86415599,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2677.624,-182.96921,HERV,5
HERVL18-int_chr2:126371941-126373077,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2692.534,-170.21577,HERV,5
HERVL18-int_chr2:127831693-127832231,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2714.547,-391.9375,HERV,5
HERVL18-int_chr2:127832484-127833345,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2685.4424,-178.61743,HERV,5
HERVL18-int_chr2:137381101-137382008,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2575.4946,-234.5868,HERV,5
HERVL18-int_chr2:137382302-137383162,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2661.2212,-180.77568,HERV,5
HERVL18-int_chr2:148253985-148259246,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2664.1934,-175.82419,HERV,5
HERVL18-int_chr2:169712249-169713909,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2685.366,-174.87709,HERV,5
HERVL18-int_chr2:169713911-169714796,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2665.5203,-169.0226,HERV,5
HERVL18-int_chr2:169714793-169717187,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2911.3354,-64.72131,HERV,5
HERVL18-int_chr2:186431738-186437781,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2587.1465,-136.84486,HERV,5
HERVL18-int_chr2:199224100-199230083,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2672.3164,-167.4508,HERV,5
HERVL18-int_chr2:35788420-35788925,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2835.696,-229.9155,HERV,5
HERVL18-int_chr2:35789191-35790071,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2664.046,-181.49214,HERV,5
HERVL18-int_chr2:60744486-60745130,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2692.1704,-182.87642,HERV,5
HERVL18-int_chr2:70201914-70203817,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2680.5027,-167.36098,HERV,5
HERVL18-int_chr2:70204122-70204962,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2748.0369,-183.28397,HERV,5
HERVL18-int_chr2:78106056-78112068,HERVL18-int,no match,no match,no match,no match,no match,no match,HERVL18-int,210,2688.042,-182.56424,HERV,5
L1HS_chr1:103922065-103925398,L1HS,L1PA2,97.608,0.0,3303,5661,3065,L1HS,4,1719.7261,-934.6826,L1HS,6
L1HS_chr1:104035268-104035972,L1HS,L1PA1,99.290,0.0,704,1273,689,L1HS,4,1708.9414,-938.9655,L1HS,6
L1HS_chr1:104035972-104036669,L1HS,L1PA1,98.978,0.0,685,1227,664,L1HS,4,1702.2352,-941.25146,L1HS,6
L1HS_chr1:104770247-104776278,L1HS,L1PA1,99.086,0.0,6019,10809,5853,L1HS,4,1711.0891,-927.79266,L1HS,6
L1HS_chr1:104843833-104849864,L1HS,L1PA1,99.302,0.0,6018,10879,5891,L1HS,4,1710.2703,-931.08545,L1HS,6
L1HS_chr1:105819682-105821063,L1HS,L1PA3,97.327,0.0,1384,2348,1271,L1HS,4,1706.9417,-921.51746,L1HS,6
L1HS_chr1:106425637-106426323,L1HS,L1PA1,94.126,0.0,681,1014,549,L1HS,4,1702.5066,-936.0101,L1HS,6
L1HS_chr1:106996415-106997356,L1HS,L1PA5,96.911,0.0,518,869,470,L1HS,0,1704.935,-944.93475,L1HS,6
L1HS_chr1:106997359-106998225,L1HS,L1PA6,96.266,0.0,857,1406,761,L1HS,0,1709.5076,-917.1484,L1HS,6
L1HS_chr1:108578637-108579660,L1HS,L1PA2,98.925,0.0,1023,1829,990,L1HS,4,1702.8619,-923.86633,L1HS,6
L1HS_chr1:113341607-113345790,L1HS,L1PA4,96.380,0.0,4171,6857,3713,L1HS,4,1712.0929,-928.92615,L1HS,6
L1HS_chr1:113497220-113500000,L1HS,L1PA1,99.281,0.0,2780,5022,2719,L1HS,4,1703.0613,-933.4516,L1HS,6
L1HS_chr1:113500000-113503257,L1HS,L1PA1,99.503,0.0,3218,5854,3170,L1HS,4,1710.1311,-936.693,L1HS,6
L1HS_chr1:116717924-116719731,L1HS,L1PA1,99.331,0.0,1794,3247,1758,L1HS,4,1711.811,-934.5911,L1HS,6
L1HS_chr1:118852351-118858380,L1HS,L1PA1,99.269,0.0,6018,10868,5885,L1HS,4,1709.4703,-930.84717,L1HS,6
L1HS_chr1:121532230-121538261,L1HS,L1PA1,99.103,0.0,6018,10809,5853,L1HS,4,1714.0258,-931.1797,L1HS,6
L1HS_chr1:121734418-121736567,L1HS,L1PA1,98.221,0.0,2136,3735,2022,L1HS,4,1715.8094,-933.7344,L1HS,6
L1HS_chr1:125110562-125111196,L1HS,L1PA1,99.196,0.0,622,1120,606,L1HS,4,1708.3893,-942.5862,L1HS,6
L1HS_chr1:146717192-146723218,L1HS,L1PA1,99.269,0.0,6017,10863,5882,L1HS,4,1712.02,-931.0803,L1HS,6
L1HS_chr1:152489881-152491692,L1HS,L1PA1,99.166,0.0,1798,3238,1753,L1HS,4,1707.0397,-939.3592,L1HS,6
L1HS_chr1:153278497-153279307,L1HS,L1PA1,98.996,0.0,797,1428,773,L1HS,4,1706.8958,-939.88556,L1HS,6
L1HS_chr1:158233126-158234190,L1HS,L1PA3,96.147,0.0,1064,1731,937,L1HS,4,1705.4657,-928.76135,L1HS,6
L1HS_chr1:158267626-158268392,L1HS,L1PA1,98.952,0.0,763,1365,739,L1HS,4,1714.2109,-944.0533,L1HS,6
L1HS_chr1:163262156-163262841,L1HS,L1PA1,99.256,0.0,672,1214,657,L1HS,4,1701.9688,-943.3921,L1HS,6
L1HS_chr1:165970864-165974367,L1HS,L1PA1,99.341,0.0,3490,6318,3421,L1HS,4,1714.1792,-932.6025,L1HS,6
L1HS_chr1:166243053-166249084,L1HS,L1PA1,98.970,0.0,6018,10768,5831,L1HS,4,1715.6554,-928.20483,L1HS,6
L1HS_chr1:174590323-174596379,L1HS,L1PA1,99.252,0.0,6017,10859,5880,L1HS,4,1708.9668,-933.1103,L1HS,6
L1HS_chr1:174629928-174633018,L1HS,L1PA2,98.674,0.0,3091,5478,2966,L1HS,4,1708.7853,-926.584,L1HS,6
L1HS_chr1:176751263-176752355,L1HS,L1PA1,99.073,0.0,1079,1938,1049,L1HS,4,1701.2483,-933.2354,L1HS,6
L1HS_chr1:180699213-180703631,L1HS,L1PA1,98.994,0.0,2584,4628,2506,L1HS,4,1713.8373,-936.8299,L1HS,6
L1HS_chr1:180866811-180872843,L1HS,L1PA1,99.352,0.0,6019,10898,5901,L1HS,4,1707.4724,-933.59607,L1HS,6
L1HS_chr1:184845616-184851641,L1HS,L1PA1,99.152,0.0,6014,10820,5859,L1HS,4,1711.6904,-932.9834,L1HS,6
L1HS_chr1:187343764-187349794,L1HS,L1PA1,99.302,0.0,6016,10876,5889,L1HS,4,1713.4338,-929.8697,L1HS,6
L1HS_chr1:187597671-187603699,L1HS,L1PA1,99.119,0.0,6016,10815,5856,L1HS,4,1711.5732,-931.22656,L1HS,6
L1HS_chr1:190299690-190300454,L1HS,L1PA2,96.863,0.0,765,1279,692,L1HS,4,1704.406,-939.2221,L1HS,6
L1HS_chr1:190300453-190301044,L1HS,L1PA2,97.288,0.0,590,1000,541,L1HS,4,1710.8657,-933.1855,L1HS,6
L1HS_chr1:190734389-190734976,L1HS,L1PA2,98.637,0.0,587,1040,563,L1HS,4,1700.8713,-926.68365,L1HS,6
L1HS_chr1:192484127-192485518,L1HS,L1PA2,98.490,0.0,1391,2453,1328,L1HS,4,1716.206,-927.8161,L1HS,6
L1HS_chr1:193717837-193723892,L1HS,L1PA1,99.186,0.0,6017,10839,5869,L1HS,4,1712.0681,-933.26666,L1HS,6
L1HS_chr1:195925003-195929320,L1HS,L1PA1,99.421,0.0,4317,7834,4242,L1HS,4,1715.7148,-931.54663,L1HS,6
L1HS_chr1:196219370-196225402,L1HS,L1PA1,99.369,0.0,6018,10901,5903,L1HS,4,1709.2047,-931.7511,L1HS,6
L1HS_chr1:197531455-197532243,L1HS,L1PA1,99.365,0.0,788,1428,773,L1HS,4,1707.5648,-937.7185,L1HS,6
L1HS_chr1:197532240-197534154,L1HS,L1PA1,99.369,0.0,1903,3448,1867,L1HS,4,1706.278,-932.38336,L1HS,6
L1HS_chr1:197707714-197713746,L1HS,L1PA1,99.285,0.0,6018,10874,5888,L1HS,4,1709.6198,-931.01935,L1HS,6
L1HS_chr1:197802331-197803141,L1HS,L1PA3,95.736,0.0,774,1243,673,L1HS,4,1708.5681,-925.8288,L1HS,6
L1HS_chr1:199023371-199024434,L1HS,L1PA1,99.153,0.0,1063,1914,1036,L1HS,4,1719.1859,-933.00525,L1HS,6
L1HS_chr1:199024428-199025579,L1HS,L1PA1,98.946,0.0,1139,2037,1103,L1HS,4,1702.8595,-935.9222,L1HS,6
L1HS_chr1:199469609-199470448,L1HS,L1PA1,99.285,0.0,839,1517,821,L1HS,4,1709.0471,-929.2347,L1HS,6
L1HS_chr1:199470448-199471071,L1HS,L1PA1,99.836,0.0,610,1122,607,L1HS,4,1703.6257,-938.1876,L1HS,6
L1HS_chr1:209913771-209919823,L1HS,L1PA1,99.202,0.0,6017,10844,5872,L1HS,4,1712.793,-933.44025,L1HS,6
L1HS_chr1:216485645-216487614,L1HS,L1PA2,97.461,0.0,1969,3358,1818,L1HS,4,1704.9658,-927.86536,L1HS,6
L1HS_chr1:218009227-218015252,L1HS,L1PA1,99.269,0.0,6017,10863,5882,L1HS,4,1709.4337,-928.56616,L1HS,6
L1HS_chr1:218072294-218073147,L1HS,L1PA1,99.762,0.0,842,1543,835,L1HS,4,1705.1912,-930.4972,L1HS,6
L1HS_chr1:220245155-220246008,L1HS,L1PA2,97.062,0.0,851,1434,776,L1HS,4,1697.7094,-930.74774,L1HS,6
L1HS_chr1:220995691-220996947,L1HS,L1PA2,99.120,0.0,1250,2248,1217,L1HS,4,1706.94,-938.59894,L1HS,6
L1HS_chr1:223317834-223318710,L1HS,L1PA1,99.049,0.0,841,1509,817,L1HS,4,1701.8934,-933.50635,L1HS,6
L1HS_chr1:223318706-223319462,L1HS,L1PA1,99.469,0.0,754,1371,742,L1HS,4,1702.5681,-922.77527,L1HS,6
L1HS_chr1:225126290-225128261,L1HS,L1PA3,96.606,0.0,1974,3271,1771,L1HS,4,1710.2708,-936.4355,L1HS,6
L1HS_chr1:231646101-231652225,L1HS,L1PA6,94.679,0.0,5657,8739,4732,L1HS,4,1712.9589,-928.06757,L1HS,6
L1HS_chr1:237019467-237025494,L1HS,L1PA1,99.435,0.0,6017,10922,5914,L1HS,4,1711.8135,-929.15295,L1HS,6
L1HS_chr1:237075264-237081293,L1HS,L1PA1,99.352,0.0,6017,10894,5899,L1HS,4,1711.6301,-933.3074,L1HS,6
L1HS_chr1:238689321-238689956,L1HS,L1PA3,99.370,0.0,635,1151,623,L1HS,4,1706.9188,-926.266,L1HS,6
L1HS_chr1:239623498-239629523,L1HS,L1PA1,99.085,0.0,6014,10800,5848,L1HS,4,1713.2201,-929.7258,L1HS,6
L1HS_chr1:247687173-247693204,L1HS,L1PA1,99.402,0.0,6016,10909,5907,L1HS,4,1713.3389,-933.215,L1HS,6
L1HS_chr1:30567813-30568750,L1HS,L1PA1,99.466,0.0,937,1703,922,L1HS,4,1719.2627,-932.1503,L1HS,6
L1HS_chr1:34566055-34572105,L1HS,L1PA1,99.236,0.0,6020,10861,5881,L1HS,4,1714.8632,-931.7833,L1HS,6
L1HS_chr1:41207751-41208441,L1HS,L1PA1,99.234,0.0,653,1179,638,L1HS,4,1698.6486,-936.72186,L1HS,6
L1HS_chr1:41854523-41855316,L1HS,L1PA1,99.487,0.0,779,1417,767,L1HS,4,1709.5847,-936.47955,L1HS,6
L1HS_chr1:41989723-41990366,L1HS,L1PA2,98.913,0.0,644,1149,622,L1HS,4,1706.7463,-928.0265,L1HS,6
L1HS_chr1:50918191-50918966,L1HS,L1PA1,99.213,0.0,762,1375,744,L1HS,4,1711.4789,-936.27185,L1HS,6
L1HS_chr1:56365452-56369282,L1HS,L1PA1,99.581,0.0,3817,6961,3769,L1HS,4,1713.1299,-934.2217,L1HS,6
L1HS_chr1:58114946-58115999,L1HS,L1PA1,99.232,0.0,1041,1879,1017,L1HS,4,1710.803,-942.7996,L1HS,6
L1HS_chr1:60278641-60279456,L1HS,L1PA1,99.004,0.0,803,1439,779,L1HS,4,1706.0145,-945.58826,L1HS,6
L1HS_chr1:63239740-63240562,L1HS,L1PA1,99.390,0.0,820,1487,805,L1HS,4,1710.2623,-942.37354,L1HS,6
L1HS_chr1:63240555-63242477,L1HS,L1PA1,99.168,0.0,1922,3461,1874,L1HS,4,1708.1482,-935.6598,L1HS,6
L1HS_chr1:67078891-67084915,L1HS,L1PA1,99.502,0.0,6026,10948,5928,L1HS,4,1715.7576,-930.74084,L1HS,6
L1HS_chr1:68734081-68736607,L1HS,L1PA1,99.157,0.0,2490,4479,2425,L1HS,4,1709.4946,-932.60223,L1HS,6
L1HS_chr1:68736693-68740136,L1HS,L1PA1,98.983,0.0,3443,6163,3337,L1HS,4,1699.8217,-932.2903,L1HS,6
L1HS_chr1:71513698-71519742,L1HS,L1PA1,99.199,0.0,5992,10798,5847,L1HS,4,1713.944,-929.9121,L1HS,6
L1HS_chr1:73193583-73195007,L1HS,L1PA3,98.523,0.0,1422,2510,1359,L1HS,4,1704.4044,-930.3153,L1HS,6
L1HS_chr1:74447377-74448273,L1HS,L1PA1,99.887,0.0,883,1626,880,L1HS,4,1709.0175,-938.53467,L1HS,6
L1HS_chr1:74518881-74519571,L1HS,L1PA1,99.409,0.0,677,1229,665,L1HS,4,1707.3572,-931.9,L1HS,6
L1HS_chr1:77000000-77005515,L1HS,L1PA2,98.297,0.0,5519,9664,5233,L1HS,4,1708.8125,-933.3707,L1HS,6
L1HS_chr1:78243562-78245813,L1HS,L1PA1,99.289,0.0,2251,4069,2203,L1HS,4,1711.242,-932.2042,L1HS,6
L1HS_chr1:80939203-80945257,L1HS,L1PA1,99.318,0.0,6010,10870,5886,L1HS,4,1711.3843,-932.45,L1HS,6
L1HS_chr1:82660285-82661790,L1HS,L1PA1,99.596,0.0,1485,2710,1467,L1HS,4,1711.8523,-939.84247,L1HS,6
L1HS_chr1:84052389-84058406,L1HS,L1PA1,99.751,0.0,6017,11029,5972,L1HS,4,1712.5471,-931.73413,L1HS,6
L1HS_chr1:85748519-85754548,L1HS,L1PA1,99.252,0.0,6017,10861,5881,L1HS,4,1709.732,-928.6134,L1HS,6
L1HS_chr1:85927067-85933100,L1HS,L1PA1,99.070,0.0,6020,10805,5851,L1HS,4,1707.5531,-933.4619,L1HS,6
L1HS_chr1:86275299-86276007,L1HS,L1PA1,99.856,0.0,696,1279,692,L1HS,4,1702.1157,-942.90186,L1HS,6
L1HS_chr1:86679080-86685111,L1HS,L1PA1,99.335,0.0,6018,10890,5897,L1HS,4,1707.2069,-931.5345,L1HS,6
L1HS_chr1:99213437-99214200,L1HS,L1PA1,99.602,0.0,753,1375,744,L1HS,4,1704.5464,-939.8331,L1HS,6
L1HS_chr1:99388538-99389521,L1HS,L1PA1,99.175,0.0,970,1748,946,L1HS,4,1704.0931,-936.0284,L1HS,6
L1HS_chr1:99389520-99390892,L1HS,L1PA1,98.700,0.0,1385,2446,1324,L1HS,4,1707.917,-929.9121,L1HS,6
L1HS_chr2:102566355-102572385,L1HS,L1PA1,99.368,0.0,6017,10900,5902,L1HS,4,1712.9835,-930.5299,L1HS,6
L1HS_chr2:109309331-109311588,L1HS,L1PA2,98.325,0.0,2268,3967,2148,L1HS,4,1701.5906,-925.53436,L1HS,6
L1HS_chr2:10996105-11000000,L1HS,L1PA1,99.639,0.0,3883,7092,3840,L1HS,4,1714.1005,-931.1459,L1HS,6
L1HS_chr2:11000000-11002136,L1HS,L1PA1,99.157,0.0,2136,3843,2081,L1HS,4,1711.4539,-935.9602,L1HS,6
L1HS_chr2:112503812-112509845,L1HS,L1PA1,99.286,0.0,6021,10872,5887,L1HS,4,1712.5408,-929.76135,L1HS,6
L1HS_chr2:115487079-115488893,L1HS,L1PA1,98.890,0.0,1801,3216,1741,L1HS,4,1709.4313,-939.72156,L1HS,6
L1HS_chr2:126178048-126184064,L1HS,L1PA1,98.970,0.0,6018,10754,5823,L1HS,4,1709.7753,-927.3298,L1HS,6
L1HS_chr2:129411066-129415379,L1HS,L1PA1,99.420,0.0,4312,7823,4236,L1HS,4,1711.2258,-931.4717,L1HS,6
L1HS_chr2:129415687-129417400,L1HS,L1PA1,99.417,0.0,1714,3107,1682,L1HS,4,1711.6887,-928.74365,L1HS,6
L1HS_chr2:129682429-129685909,L1HS,L1PA1,99.222,0.0,3469,6257,3388,L1HS,4,1713.8812,-932.34,L1HS,6
L1HS_chr2:129685897-129687022,L1HS,L1PA1,99.107,0.0,1120,2010,1088,L1HS,4,1704.8716,-935.718,L1HS,6
L1HS_chr2:131815264-131816385,L1HS,L1PA2,98.840,0.0,1121,1999,1082,L1HS,4,1703.0219,-926.7136,L1HS,6
L1HS_chr2:133299870-133302778,L1HS,L1PA1,98.901,0.0,2913,5197,2814,L1HS,4,1714.1787,-929.2953,L1HS,6
L1HS_chr2:134209190-134212559,L1HS,L1PA1,99.434,0.0,3358,6096,3301,L1HS,4,1709.7612,-933.05884,L1HS,6
L1HS_chr2:139027722-139028364,L1HS,L1PA1,99.003,0.0,602,1075,582,L1HS,4,1704.1836,-938.02954,L1HS,6
L1HS_chr2:139878538-139879468,L1HS,L1PA1,98.490,0.0,927,1635,885,L1HS,4,1713.8708,-944.98047,L1HS,6
L1HS_chr2:143860956-143866987,L1HS,L1PA1,99.402,0.0,6019,10914,5910,L1HS,4,1710.146,-934.4784,L1HS,6
L1HS_chr2:148188745-148194773,L1HS,L1PA1,99.053,0.0,6017,10792,5844,L1HS,4,1712.322,-929.118,L1HS,6
L1HS_chr2:153007766-153013796,L1HS,L1PA1,99.235,0.0,6017,10855,5878,L1HS,4,1712.4165,-932.9584,L1HS,6
L1HS_chr2:157566353-157572377,L1HS,L1PA1,98.986,0.0,6018,10765,5829,L1HS,4,1711.8008,-930.0483,L1HS,6
L1HS_chr2:159292615-159293468,L1HS,L1PA1,99.511,0.0,818,1489,806,L1HS,4,1704.6218,-934.58325,L1HS,6
L1HS_chr2:159293465-159295135,L1HS,L1PA1,99.042,0.0,1670,2994,1621,L1HS,4,1710.873,-941.12396,L1HS,6
L1HS_chr2:159663850-159664952,L1HS,L1PA1,99.248,0.0,1064,1921,1040,L1HS,4,1701.0083,-935.97876,L1HS,6
L1HS_chr2:159664949-159665790,L1HS,L1PA1,99.287,0.0,841,1520,823,L1HS,4,1705.5342,-938.6096,L1HS,6
L1HS_chr2:160114516-160120680,L1HS,L1PA3,96.287,0.0,6167,10089,5463,L1HS,4,1709.8306,-927.96295,L1HS,6
L1HS_chr2:162568875-162570712,L1HS,L1PA2,97.764,0.0,1834,3153,1707,L1HS,4,1708.6017,-930.1098,L1HS,6
L1HS_chr2:164120937-164121719,L1HS,L1PA1,99.616,0.0,782,1428,773,L1HS,4,1718.2677,-934.4183,L1HS,6
L1HS_chr2:164121718-164123622,L1HS,L1PA1,99.049,0.0,1892,3395,1838,L1HS,4,1715.993,-933.9988,L1HS,6
L1HS_chr2:16593725-16599758,L1HS,L1PA1,99.468,0.0,6020,10938,5923,L1HS,4,1714.4749,-930.94434,L1HS,6
L1HS_chr2:166988454-166994509,L1HS,L1PA1,99.269,0.0,6023,10872,5887,L1HS,4,1715.935,-931.53357,L1HS,6
L1HS_chr2:169248623-169254656,L1HS,L1PA1,99.535,0.0,6021,10959,5934,L1HS,4,1714.5714,-934.5521,L1HS,6
L1HS_chr2:172315270-172321297,L1HS,L1PA1,99.235,0.0,6015,10852,5876,L1HS,4,1713.9362,-933.2488,L1HS,6
L1HS_chr2:175481951-175487994,L1HS,L1PA1,99.618,0.0,6016,10983,5947,L1HS,4,1712.3341,-931.2542,L1HS,6
L1HS_chr2:175691462-175694637,L1HS,L1PA2,98.929,0.0,3176,5675,3073,L1HS,4,1718.2395,-931.7475,L1HS,6
L1HS_chr2:177973073-177979090,L1HS,L1PA1,99.236,0.0,6020,10846,5873,L1HS,4,1706.5089,-933.8105,L1HS,6
L1HS_chr2:180833661-180839689,L1HS,L1PA1,99.235,0.0,6016,10853,5877,L1HS,4,1710.9972,-935.0531,L1HS,6
L1HS_chr2:182430116-182431117,L1HS,L1PA1,98.489,0.0,993,1748,946,L1HS,4,1705.2871,-936.48206,L1HS,6
L1HS_chr2:184947294-184949713,L1HS,L1PA1,99.252,0.0,2406,4344,2352,L1HS,4,1711.0114,-930.39294,L1HS,6
L1HS_chr2:184949712-184950989,L1HS,L1PA1,99.686,0.0,1274,2331,1262,L1HS,4,1715.9419,-937.1333,L1HS,6
L1HS_chr2:186090760-186092341,L1HS,L1PA3,97.544,0.0,1181,2019,1093,L1HS,4,1710.3784,-934.2943,L1HS,6
L1HS_chr2:193170704-193171720,L1HS,L1PA2,97.640,0.0,1017,1744,944,L1HS,4,1698.2615,-925.72577,L1HS,6
L1HS_chr2:193212420-193218448,L1HS,L1PA1,99.053,0.0,6019,10794,5845,L1HS,4,1711.908,-934.76996,L1HS,6
L1HS_chr2:196905587-196911636,L1HS,L1PA1,99.551,0.0,6017,10960,5935,L1HS,4,1714.0371,-930.6261,L1HS,6
L1HS_chr2:197062486-197068374,L1HS,L1PA5,95.033,0.0,4973,7762,4203,L1HS,4,1715.4746,-935.2612,L1HS,6
L1HS_chr2:204384907-204386560,L1HS,L1PA3,97.278,0.0,1653,2804,1518,L1HS,4,1704.4111,-938.63574,L1HS,6
L1HS_chr2:204766998-204770540,L1HS,L1PA1,99.348,0.0,3529,6390,3460,L1HS,4,1708.5466,-932.353,L1HS,6
L1HS_chr2:2257683-2259565,L1HS,L1PA1,99.122,0.0,1709,3073,1664,L1HS,4,1708.062,-934.3084,L1HS,6
L1HS_chr2:31575998-31577158,L1HS,L1PA1,97.563,0.0,1149,1967,1065,L1HS,4,1715.2219,-929.74493,L1HS,6
L1HS_chr2:34572557-34575548,L1HS,L1PA1,99.699,0.0,2991,5474,2964,L1HS,4,1706.1415,-929.47015,L1HS,6
L1HS_chr2:34575545-34576511,L1HS,L1PA1,99.895,0.0,953,1755,950,L1HS,4,1712.5857,-938.8345,L1HS,6
L1HS_chr2:34819530-34820120,L1HS,L1PA1,98.946,0.0,569,1018,551,L1HS,4,1703.5779,-941.48627,L1HS,6
L1HS_chr2:36112506-36118537,L1HS,L1PA1,99.236,0.0,6019,10859,5880,L1HS,4,1710.8467,-933.8605,L1HS,6
L1HS_chr2:41549997-41551968,L1HS,L1PA1,99.281,0.0,1946,3517,1904,L1HS,4,1708.8298,-934.42725,L1HS,6
L1HS_chr2:41551964-41553706,L1HS,L1PA1,99.425,0.0,1739,3157,1709,L1HS,4,1705.165,-928.80396,L1HS,6
L1HS_chr2:4733729-4739760,L1HS,L1PA1,99.850,0.0,6016,11060,5989,L1HS,4,1711.54,-929.95654,L1HS,6
